  ORIGINAL		  PREDICTED		  ERROR

39.0717659525		27.6539460859		11.4178198666
55.0007770656		39.083791962		15.9169851036
57.585183344		54.9344035174		2.65077982665
43.979983072		57.4301295594		-13.4501464874
26.7768946113		43.9724361018		-17.1955414905
6.29879164114		26.7722930862		-20.4735014451
-14.400098949		6.29853121098		-20.69863016
-39.974062471		-14.4046358015		-25.5694266695
-38.3866054836		-39.9079172862		1.52131180259
-41.715688331		-39.2732101269		-2.44247820411
-19.1101137201		-41.6286279151		22.518514195
-3.42621301493		-19.1194543716		15.6932413567
21.1656032699		-3.41540626538		24.5810095352
43.9646740291		21.1640075676		22.8006664615
57.5972925087		43.9511469649		13.6461455438
66.2849058777		57.5777603041		8.70714557363
52.6237628582		66.0511627987		-13.4273999405
39.5866896482		52.6255135899		-13.0388239417
6.15695944779		39.5689398012		-33.4119803534
-18.9701653184		6.16176992682		-25.1319352452
-30.1163685525		-18.9499164616		-11.166452091
-43.8334913825		-30.1246566522		-13.7088347302
-37.4984497031		-43.6207644095		6.12231470643
-28.8894546028		-37.4782410821		8.58878647933
-0.821792643688		-28.8630052434		28.0412125997
16.216428073		-0.832422968449		17.0488510414
41.047235502		16.225217083		24.822018419
52.0517294227		41.0267200269		11.0250093958
60.7826550791		52.0401061549		8.74254892414
43.5106745333		60.6083339176		-17.0976593843
31.5716506015		43.5230370409		-11.9513864394
13.1706976225		31.5578199068		-18.3871222843
-4.15513027091		13.1723817313		-17.3275120022
-22.2405151922		-4.15634154431		-18.0841736478
-24.2036161122		-22.1745192993		-2.02909681292
-19.2944051238		-23.640829779		4.34642465526
-7.55803729146		-19.2477415747		11.6897042833
7.68731721067		-7.54845143711		15.2357686478
15.3769277803		7.65959186587		7.7173359144
32.97268357		15.406407709		17.5662758609
42.7316169009		32.9522951139		9.77932178706
32.0822870504		42.4392876937		-10.3570006432
29.4606784282		32.1635396005		-2.70286117224
8.85331608241		29.4051166145		-20.5518005321
-4.27531274606		8.86624655645		-13.1415593025
-8.48314780124		-4.22076463364		-4.2623831676
-19.3313675331		-8.5381672854		-10.7932002477
-9.14566734757		-19.0469604822		9.90129313467
0.672544862296		-9.14750386218		9.82004872447
6.8667402072		0.64475066063		6.22198954657
23.9617392171		6.90420028733		17.0575389297
31.6746375204		23.9326371916		7.74200032876
41.3810816997		31.6877203228		9.69336137695
33.4330671658		41.0510467196		-7.61797955381
25.7931996679		33.4356032122		-7.64240354428
8.13985628671		25.7634494425		-17.6235931558
-14.1680998002		8.13405299066		-22.3021527909
-19.6487285508		-14.1292641499		-5.51946440085
-28.3877718007		-19.6804039045		-8.70736789616
-18.9487556922		-28.0591652859		9.1104095937
-9.05592261042		-18.9463274938		9.89040488342
11.8170356828		-9.03366683976		20.8507025226
28.2585249588		11.810700098		16.4478248608
41.8695055882		28.2522753644		13.6172302238
56.6987892777		41.8725161844		14.8262730933
54.7357525984		56.5693858109		-1.83363321252
45.9092808002		54.6318522593		-8.72257145905
25.0148840825		45.8833804908		-20.8684964084
0.211141323067		25.0111491829		-24.8000078598
-27.0774097856		0.209311341687		-27.2867211273
